id_abjad,id,id_band,nama_band,judul
2,51115,26,Agnes Monica,Berkelana Ke Ujung Dunia
2,188,71,Anggun,Berkilaulah
2,3922,63,Andien,Bernyanyi Untukmu
2,53205,5298,Angsa Band,Berpisah
2,4147,1173,Alexa feat Lala,Bersamamu
2,55913,4427,Adista,Bersamamu
2,3923,66,Andra And The Backbone,Bersedih
2,50876,4443,Andrea Bocelli,Besame Mucho
2,7786,1408,Adele,Best For Last
2,8472,1462,Amy Winehouse,Best Friends
2,61444,7502,Anthem Lights,Best Of 2012
2,60948,1491,Ariana Grande,Better Off
2,43540,1405,A Day To Remember,Better Off This Way
2,8157,1434,Adam Lambert,Better Than I Know Myself
2,59451,6314,Ayda Jebat,Better Than You
2,44102,1462,Amy Winehouse,Between The Cheats
2,43722,1418,Alan Jackson,Between The Devil And Me
2,7932,1416,Ataris,Between You And Me
2,8524,1468,Atif Aslam,Bheegi Yadein
2,56811,6030,Alvaro Maldini,Biar Aku Yang Pergi
2,55356,11,Ada Band,Biarkan Ku Pergi
2,55388,72,Angkasa,Biarlah Berlalu
2,56026,72,Angkasa,Biarlah Bulan Bicara
2,102,35,Airplay,Bicara Karena Cinta
2,58169,6495,Amir Hasan,Bicaramu
2,55947,31,Ahmad Dhani,Bidadari Di Kesunyian
2,51118,30,Ahmad Band,Bidadari Di Kesunyian Dhani Dewa 19
2,59699,6144,Angger LaoNeis,Bidadari Hati
2,92,30,Ahmad Band,Bidadari kesunyian
2,54606,75,Anji,Bidadari Tak Bersayap
2,57881,75,Anji,Bidadari Tak Bersayap Dasar Mudah chordindonesia
2,54663,1172,Aladin,Bidadariku
2,8358,1450,Audio Adrenaline,Big Big House
2,8039,1424,Andrew Jackson Jihad,Big Bird
2,43793,1424,Andrew Jackson Jihad,Big Bird Acoustic
2,8359,1450,Audio Adrenaline,Big House
2,61443,7501,Ane Brun,Big In Japan
2,8088,1427,Angus And Julia Stone,Big Jet Plane
2,7557,1400,Arctic Monkeys,Bigger Boys And Stolen Sweethearts
2,58585,6656,Adeline Margaret,Bila Saja
2,21,11,Ada Band,Bilakah
2,57366,1171,Al Ghazali,Bilang Dulu Pacarmu
2,80,26,Agnes Monica,Bilang Saja
2,199,73,Anima,Bintang
2,211,77,Antharez [indie],Bintang
2,58142,73,Anima,Bintang Dasar Mudah chordindonesia com
2,57459,6201,Andrey Arifianto,Bintang Jatuh
2,55399,105,Astrid,Bintang Kejora
2,60529,7272,Aulia,Bintang Terindah
2,8703,1493,Antony And The Johnsons,Bird Gerhl
2,8571,1472,A Fine Frenzy,Bird Of The Summer
2,8081,1427,Angus And Julia Stone,Bird On The Buffalo
2,60915,115,Avril Lavigne,Birdie
2,8204,1438,Anouk,Birds
2,5667,36,Akon,Birthmark
2,8464,1461,A Ha,Birthright
2,51130,70,Angel Pieters,Biru
2,58069,5949,Angsa Serigala,Biru
2,218,79,Antique,Bisikkanlah
2,7819,1410,Against Me,Bitter Divisions
2,60600,7309,Alinda Blah,Bla Bla Bla
2,8089,1427,Angus And Julia Stone,Black Crow
2,43794,1424,Andrew Jackson Jihad,Black Dog You Are My Sunshine
2,7812,1409,Alice In Chains,Black Gives Way To Blue
2,8714,1494,Automatic Loveletter,Black Ink Revenge
2,43563,1407,Alice Cooper,Black Juju
2,43607,1410,Against Me,Black Me Out
2,7835,1410,Against Me,Black Me Out Acoustic
2,5731,115,Avril Lavigne,Black Star Commercial
2,8536,1469,Athlete,Black Swan Song
2,8530,1469,Athlete,Black Swan Song Acoustic
2,7558,1400,Arctic Monkeys,Black Treacle
2,5618,46,Alter Bridge,Blackbird
2,44176,1478,Allstar Weekend,Blame It On September
2,7855,1411,Anberlin,Blame Me Blame Me
2,55404,113,Avenged Sevenfold,Blinded In Chains
2,54893,5785,Ami DS,Blitar Kawentar
2,53859,5504,Asian Kung Fu Generation,Blood Circulator
2,44154,1472,A Fine Frenzy,Blow Away
2,8677,1489,Avantasia,Blowing Out The Flame
2,7806,1409,Alice In Chains,Blue
2,8391,1454,A Perfect Circle,Blue
2,7703,1403,Alkaline Trio,Blue Carolina
2,7704,1403,Alkaline Trio,Blue Carolina Acoustic
2,8572,1472,A Fine Frenzy,Blue Christmas
2,7682,1403,Alkaline Trio,Blue In The Face
2,7956,1418,Alan Jackson,Blue Ridge Mountain Song
2,8238,1441,Animal Collective,Bluish
2,43608,1410,Against Me,Bob Dylan Dream
2,225,82,AOP,Bodohnya Diriku
2,8040,1424,Andrew Jackson Jihad,Bold With Fire French Quarter
2,43942,1442,Alison Krauss,Bonita And Bill Butler
2,8197,1437,Alexisonfire,Born And Raised
2,8691,1491,Ariana Grande,Born This Way Vs Express Yourself
2,43956,1443,Amy Macdonald,Born To Run
2,8563,1472,A Fine Frenzy,Borrowed Time
2,44001,1448,Augustana,Borrowed Time
2,58877,4451,Asbak Band,Bosan Dengan Waktumu
2,8304,1446,Adam Green,Boss Inside
2,44002,1448,Augustana,Boston
2,8340,1448,Augustana,Boston Acoustic
2,8230,1440,Ani Difranco,Both Hands
2,8122,1430,Allister,Boysenberry
2,8333,1448,Augustana,Brace
2,43992,1447,Alicia Keys,Brand New Me
2,5678,46,Alter Bridge,Brand New Start
2,8041,1424,Andrew Jackson Jihad,Brave As A Noun
2,52922,5272,Aimer,Brave Shine
2,43677,1415,Arcade Fire,Brazil
2,8014,1422,Alanis Morissette,Break
2,8205,1438,Anouk,Break Down The Wall
2,60916,115,Avril Lavigne,Break It So Good
2,7623,1401,All Time Low,Break Out Break Out
2,7624,1401,All Time Low,Break Your Little Heart
2,7625,1401,All Time Low,Break Your Little Heart Acoustic
2,8500,1466,Alan Parsons Project,Breakdown
2,7888,1413,All American Rejects,Breakin
2,8312,1446,Adam Green,Breaking Locks
2,7626,1401,All Time Low,Breakout Breakout Acoustic
2,7813,1409,Alice In Chains,Breath On A Window
2,43644,1412,Angels And Airwaves,Breathe
2,43843,1430,Allister,Breathe For You
2,43541,1405,A Day To Remember,Breathe Hope In Me
2,61475,7517,Audacious,Breathe On Me
2,7983,1421,Alexz Johnson,Breathing In Your Smoke
2,61434,7497,Alt j,Breezeblocks
2,7559,1400,Arctic Monkeys,Brianstorm
2,8186,1435,Animals,Bright Lights Big City
2,43898,1435,Animals,Bring It On Home To Me
2,8158,1434,Adam Lambert,Broken English
2,77,23,AFX City [indie],Broken Homes
2,8313,1446,Adam Green,Broken Joystick
2,8168,1434,Adam Lambert,Broken Open
2,7924,1416,Ataris,Broken Promise Ring
2,7914,1415,Arcade Fire,Broken Window
2,43502,1403,Alkaline Trio,Broken Wing
2,51122,46,Alter Bridge,Broken Wings
2,61429,7496,All Sons And Daughters,Brokenness Aside
2,53710,5468,Anjar Ox's,Brother Ku Lupa Diri
2,43927,1441,Animal Collective,Brother Sport
2,59489,98,Armada,Buah Hati
2,59689,11,Ada Band,Buang Saja Ragu
2,54542,5724,Ani Mayuni,Buaya Cinta
2,43980,1446,Adam Green,Buddy Bradley
2,7970,1418,Alan Jackson,Buicks On The Moon
2,8632,1482,American Hi Fi,Built For Speed
2,263,98,Armada,Buka Hatimu
2,59792,4750,Aviwkila,Bukalah Matamu
2,57223,6125,Adelia Monthe,Bukan Aku Yang Salah
2,57922,98,Armada,Bukan Anak Kemarin Sore
2,63,21,Afgan,Bukan Cinta Biasa
2,42358,4692,Afgan & Raisa,Bukan Cinta Biasa
2,264,98,Armada,Bukan Dewa
2,51087,75,Anji,Bukan Lelaki Sempurna
2,41591,4426,Adinda,Bukan MainMain
2,230,86,Arasi [indie],Bukan milikku
2,41645,4449,Ardiansyah Martin,Bukan Salah Jodoh
2,53423,1327,Abiem Ngesti,Bukan Tanda Jasa
2,295,105,Astrid,Bukan Waktunya
2,3620,1116,Ari And D'Project,Bukan Yang Pertama
2,60,18,Ady,Bukan Yang Terbaik
2,41598,4429,Ady Ex Naff,Bukan yang Terbaik
2,55363,20,Ady Naff,Bukan Yang Terbaik
2,56599,5949,Angsa Serigala,Bulan
2,54933,116,Ayu Ting Ting,Bulan Dalam Kolam
2,54387,75,Anji,Bulan Embun Kamu
2,55376,1455,Aly And Aj,Bullseye
2,60749,7380,Aishwa Nahla,Bunda
2,219,79,Antique,Bunga
2,5599,21,Afgan,Bunga Terakhir
2,4361,1329,Asep Irama,Bunga Teratai
2,8305,1446,Adam Green,Bungee
2,8452,1460,Amos Lee,Burden
2,8199,1437,Alexisonfire,Burial
2,5700,113,Avenged Sevenfold,Buried Alive
2,61430,7496,All Sons And Daughters,Buried In The Grave
2,7820,1410,Against Me,Burn
2,5679,46,Alter Bridge,Burn It Down
2,43630,1411,Anberlin,Burn Out Brighter Northern Lights
2,7705,1403,Alkaline Trio,Burned Is The House
2,43609,1410,Against Me,Burning Bridges
